time,bus1.v_a,bus1.v_b,bus1.v_c,bus2.v_a,bus2.v_b,bus2.v_c,line1.i_a,line1.i_b,line1.i_c
0,168.66558270159999,-83.628935788700005,-85.036646912799995,165.2894587367,-85.125286418100004,-80.164172318599995,10.400449585900001,-12.2391108134,1.8386612275000001
2.0000000000000002e-05,168.65446716766144,-82.522082978298869,-86.132384191362462,165.306130210953,-84.054258736452311,-81.251871476311536,10.461360351580645,-12.201404596238275,1.7400442446560644
4.0000000000000003e-05,168.63422866001491,-81.410769948415833,-87.223458713598589,165.31384394426618,-82.978662280890106,-82.335181665112998,10.521645392496694,-12.162969563462243,1.6413241709620903
6.0000000000000008e-05,168.60414560780907,-80.294702332300801,-88.309443277507356,165.3119275494015,-81.898233835484007,-83.413693715662973,10.581328285367739,-12.123839825179354,1.5425115398064786
8.0000000000000007e-05,168.56439739483201,-79.174024984612529,-89.390372412218014,165.30056257038152,-80.813146469900161,-84.487416102225126,10.64050135861617,-12.084127417690624,1.4436260590676282
0.0001,168.5151398946544,-78.048880203111239,-90.466259693541033,165.27985866645906,-79.72349684369253,-85.556361824512337,10.699087769650951,-12.043748480610537,1.3446607109510929
0.00012,168.45629570964746,-76.91929471775137,-91.537000993893159,165.24977709883802,-78.629324158488828,-86.620452942097614,10.757068108097025,-12.002687422555171,1.2456193144480019
0.00014000000000000001,168.38787535402227,-75.785341157596307,-92.602534198422106,165.21029267413775,-77.530682404234327,-87.679610271651867,10.814436347915104,-11.960945021492805,1.1465086735659176
0.00016000000000000001,168.30988244154901,-74.647078833918556,-93.662803609625598,165.16141871612678,-76.427633776181395,-88.733784941693557,10.87118958795398,-11.918523056606965,1.0473334686395754
0.00018000000000000001,168.2223222130724,-73.504581594538593,-94.717740620527834,165.10315676238505,-75.320249301573568,-89.7829074625608,10.927323592974734,-11.87542460422778,0.9481010112380287
0.00020000000000000001,168.12519970978525,-72.357914875531094,-95.767284836246958,165.0355080497682,-74.208592738508756,-90.826915313009621,10.982833936671357,-11.831652876566819,0.84881893987885304
